axis,μ_train,σ_train,μ_test,σ_test,Δμ,Δμ_%,σ_ratio,min_train,max_train,min_test,max_test,p_shapiro_train,p_shapiro_test
Axis #1,0.7257429365799557,2.162119820443517,1.057193166649808,1.6005276711394811,0.3314502300698523,45.67047274780278,0.7402585444183033,0.0,23.6093,-0.472186,9.021810699706808,6.219424157695113e-142,2.8372662811491685e-98
Axis #2,3.613373826628352,6.87996172222211,4.550099707817527,5.276198107284611,0.9367258811891745,25.923857484273523,0.7668935264919599,0.0,51.71323,-1.0342646,28.806604507201754,5.293194277472572e-129,2.518482828147817e-91
Axis #3,2.7103363094877997,5.111900848249546,3.513111698274971,4.262056850848348,0.8027753887871714,29.619032367938136,0.8337518620510397,0.0,41.85556,-0.8371111999999999,25.47715425674456,6.530647792598282e-129,7.534774172915751e-94
Axis #4,0.6202218496672716,1.5748966448475556,0.8618224160986416,1.2476937542177562,0.24160056643137007,38.95389473314763,0.7922384991419729,0.0,15.6663,-0.313326,7.224162516285612,2.041665344455853e-138,3.278202300933806e-99
Axis #5,0.9545209228171003,2.1001858856533366,1.3125485427744525,1.7337297417077804,0.3580276199573522,37.50861939209219,0.8255125194160815,0.0,20.75076,-0.4150152,10.63990034514636,7.581452714463889e-134,1.7446923095834877e-95
Axis #6,0.5994270659407139,1.8154979164540022,1.0139486619686386,1.4638296363204646,0.4145215960279247,69.15296615400459,0.8062965113061602,0.0,20.93142,-0.4186284,8.037534987681244,1.5753951222412221e-142,1.0654836556028519e-96
Axis #7,0.8701453917120389,2.1668107124905793,1.2479539466235938,1.5692388904007681,0.37780855491155496,43.4190146279123,0.7242159554385121,0.0,8.10848,-0.1621696,8.2706496,1.8907808184469904e-138,3.3923602764363428e-102
Axis #8,0.10221448326275459,0.42307529116634557,0.18167031740342415,0.30470041586010604,0.07945583414066956,77.73441845459298,0.7202037609431162,0.0,5.90564,-0.1181128,1.7641616238842748,1.763894467694652e-148,2.4202317917674305e-96
